station,year,month,latitude,longitude,sentinel2_evi_mean_100m,sentinel2_evi_mean_250m,sentinel2_evi_mean_500m,sentinel2_evi_mean_1000m,sentinel2_evi_median_100m,sentinel2_evi_median_250m,sentinel2_evi_median_500m,sentinel2_evi_median_1000m,sentinel2_evi_std_100m,sentinel2_evi_std_250m,sentinel2_evi_std_500m,sentinel2_evi_std_1000m,sentinel2_ndvi_max_100m,sentinel2_ndvi_max_250m,sentinel2_ndvi_max_500m,sentinel2_ndvi_max_1000m,sentinel2_ndvi_mean_100m,sentinel2_ndvi_mean_250m,sentinel2_ndvi_mean_500m,sentinel2_ndvi_mean_1000m,sentinel2_ndvi_median_100m,sentinel2_ndvi_median_250m,sentinel2_ndvi_median_500m,sentinel2_ndvi_median_1000m,sentinel2_ndvi_min_100m,sentinel2_ndvi_min_250m,sentinel2_ndvi_min_500m,sentinel2_ndvi_min_1000m,sentinel2_ndvi_std_100m,sentinel2_ndvi_std_250m,sentinel2_ndvi_std_500m,sentinel2_ndvi_std_1000m,sentinel2_ndwi_mean_100m,sentinel2_ndwi_mean_250m,sentinel2_ndwi_mean_500m,sentinel2_ndwi_mean_1000m,sentinel2_ndwi_median_100m,sentinel2_ndwi_median_250m,sentinel2_ndwi_median_500m,sentinel2_ndwi_median_1000m,sentinel2_ndwi_std_100m,sentinel2_ndwi_std_250m,sentinel2_ndwi_std_500m,sentinel2_ndwi_std_1000m,sentinel2_valid_pixels_100m,sentinel2_valid_pixels_250m,sentinel2_valid_pixels_500m,sentinel2_valid_pixels_1000m,s5p_no2_total_mean_100m,s5p_no2_total_mean_250m,s5p_no2_total_mean_500m,s5p_no2_total_mean_1000m,s5p_no2_total_median_100m,s5p_no2_total_median_250m,s5p_no2_total_median_500m,s5p_no2_total_median_1000m,s5p_no2_total_std_100m,s5p_no2_total_std_250m,s5p_no2_total_std_500m,s5p_no2_total_std_1000m,s5p_no2_trop_mean_100m,s5p_no2_trop_mean_250m,s5p_no2_trop_mean_500m,s5p_no2_trop_mean_1000m,s5p_no2_trop_median_100m,s5p_no2_trop_median_250m,s5p_no2_trop_median_500m,s5p_no2_trop_median_1000m,s5p_no2_trop_std_100m,s5p_no2_trop_std_250m,s5p_no2_trop_std_500m,s5p_no2_trop_std_1000m,s5p_valid_obs_count_100m,s5p_valid_obs_count_250m,s5p_valid_obs_count_500m,s5p_valid_obs_count_1000m,modis_evi_mean_100m,modis_evi_mean_250m,modis_evi_mean_500m,modis_evi_mean_1000m,modis_evi_median_100m,modis_evi_median_250m,modis_evi_median_500m,modis_evi_median_1000m,modis_evi_std_100m,modis_evi_std_250m,modis_evi_std_500m,modis_evi_std_1000m,modis_ndvi_mean_100m,modis_ndvi_mean_250m,modis_ndvi_mean_500m,modis_ndvi_mean_1000m,modis_ndvi_median_100m,modis_ndvi_median_250m,modis_ndvi_median_500m,modis_ndvi_median_1000m,modis_ndvi_std_100m,modis_ndvi_std_250m,modis_ndvi_std_500m,modis_ndvi_std_1000m,modis_lst_day_mean_c_100m,modis_lst_day_mean_c_250m,modis_lst_day_mean_c_500m,modis_lst_day_mean_c_1000m,modis_lst_day_median_c_100m,modis_lst_day_median_c_250m,modis_lst_day_median_c_500m,modis_lst_day_median_c_1000m,modis_lst_day_std_c_100m,modis_lst_day_std_c_250m,modis_lst_day_std_c_500m,modis_lst_day_std_c_1000m,modis_lst_diurnal_range_mean_c_100m,modis_lst_diurnal_range_mean_c_250m,modis_lst_diurnal_range_mean_c_500m,modis_lst_diurnal_range_mean_c_1000m,modis_lst_diurnal_range_median_c_100m,modis_lst_diurnal_range_median_c_250m,modis_lst_diurnal_range_median_c_500m,modis_lst_diurnal_range_median_c_1000m,modis_lst_night_mean_c_100m,modis_lst_night_mean_c_250m,modis_lst_night_mean_c_500m,modis_lst_night_mean_c_1000m,modis_lst_night_median_c_100m,modis_lst_night_median_c_250m,modis_lst_night_median_c_500m,modis_lst_night_median_c_1000m,modis_lst_night_std_c_100m,modis_lst_night_std_c_250m,modis_lst_night_std_c_500m,modis_lst_night_std_c_1000m,month_sin,month_cos,gradient_ndvi_1000_100,gradient_lst_day_1000_100,gradient_no2_1000_100,season_encoded,pm25
Alipur,2022,1,28.815329,77.15301,0.3085464238789031,0.3859295015420723,0.3962488618970157,0.4000677638255961,0.3192712998289578,0.3632411264233022,0.3435413668598595,0.3104017588056595,0.0816653995300214,0.1400737534090369,0.2739288914110375,0.2928336392872186,0.7923924326896667,0.9182248711586,0.9227144122123718,0.9602952003479004,0.5830113500262518,0.629321941126538,0.5633144210215753,0.5450644381540622,0.6306909918785095,0.6543117604412875,0.5820126952246428,0.5663414077326194,0.1393240094184875,0.0805651023983955,-0.0758105888962745,-0.0758105888962745,0.1529932025621722,0.1651373339902939,0.235627296061917,0.2531180336552945,-0.54387291295719,-0.5737806525862575,-0.5214734567460412,-0.5048424117479455,-0.5679866969585419,-0.5874586486816407,-0.5413481612674526,-0.5254363655066121,0.1095614357571051,0.1194228643800767,0.1815605276592454,0.1916738147732932,392.0,2313.0,9082.0,35884.0,0.0001080783232601,0.0001080783232601,0.0001104716599774,0.0001162998863519,0.0001080783232601,0.0001080783232601,0.0001080783232601,0.0001208193216668,0.0,0.0,6.370499203355147e-06,6.528152849364228e-06,6.444390965047711e-05,6.444390965047711e-05,6.447378211952425e-05,6.619602786736788e-05,6.444390965047711e-05,6.444390965047711e-05,6.444390965047711e-05,6.460293661805152e-05,0.0,0.0,7.951348379199851e-08,3.784098649606294e-06,1.0,1.0,2.0,9.0,0.3260093103448276,0.3585767480577136,0.3574451617362455,0.3622548273480663,0.31295,0.35615,0.35615,0.35145,0.0262999999999996,0.06930095570003,0.0881053627385373,0.1174462980853221,0.5967786206896551,0.6320648723640401,0.6053568565109207,0.5899046063535913,0.5829,0.6371,0.6119000000000001,0.61185,0.0279500000000003,0.1113135926041266,0.123174517102833,0.1312074138973288,17.2566666666667,17.2566666666667,17.23358518518522,17.214237037037066,17.2566666666667,17.2566666666667,17.2566666666667,17.2566666666667,0.0,0.0,0.2431905974058601,0.4853304843220486,8.146666666666667,8.146666666666667,8.175081481481481,8.247351851851851,8.146666666666667,8.146666666666667,8.146666666666667,8.173333333333327,8.815000000000026,8.815000000000026,8.765333333333363,8.71396111111114,8.815000000000026,8.815000000000026,8.815000000000026,8.815000000000026,0.0,0.0,0.2998853947760818,0.3554218498601674,0.4999999999999999,0.8660254037844387,-0.0068740143360638,-0.042429629629634,1.752118216890764e-06,1,128.79
Alipur,2022,2,28.815329,77.15301,0.3009195399212439,0.4006714324447731,0.3960310349593007,0.3910383350972775,0.3068412800873932,0.3635997066026644,0.3592849522831557,0.3590417093412356,0.0673429977715907,0.153974446341821,0.2117710834464072,0.2136105532035093,0.7149588465690613,0.8526992797851562,0.8526992797851562,0.8750537037849426,0.5274368370741341,0.5911786676053915,0.5285092151598206,0.5154447396880407,0.55637127161026,0.599582116689168,0.5449039015701707,0.5252585174467617,0.1797765493392944,0.1052931696176529,-0.0207079444080591,-0.0207079444080591,0.1287139609560276,0.1565442620359763,0.219146743891371,0.2373453313502094,-0.4956340633079474,-0.546396441490746,-0.4962720643426792,-0.4893607949751259,-0.5105020105838776,-0.5488201551078319,-0.5099107282825392,-0.4978437192104205,0.0926565532880876,0.1185014182248442,0.1705020974059183,0.1839545639708809,392.0,2313.0,9082.0,35884.0,0.0001319903676631,0.0001319903676631,0.0001329404260296,0.0001326509492728,0.0001319903676631,0.0001319903676631,0.0001319903676631,0.0001319903676631,0.0,0.0,2.5288318283653114e-06,4.407768864999027e-06,9.06342674748982e-05,9.06342674748982e-05,9.070224197276622e-05,8.989501945627233e-05,9.06342674748982e-05,9.06342674748982e-05,9.06342674748982e-05,9.06342674748982e-05,0.0,0.0,1.809321193176227e-07,3.7824328434312577e-06,1.0,1.0,2.0,9.0,0.4002124137931034,0.4185586015538291,0.4214496129388997,0.4007530662983426,0.384,0.42365,0.42365,0.4087777003484321,0.0326500000000002,0.0763645655719985,0.1242176941071623,0.1231782499282846,0.6136872413793104,0.629624472807991,0.6111121924246614,0.581785497237569,0.6010500000000001,0.6355500000000001,0.6355500000000001,0.62425,0.0254500000000002,0.0990662576180076,0.1383136259411308,0.1311920862586753,24.14500000000001,24.14500000000001,23.826600000000017,23.470244444444464,24.14500000000001,24.14500000000001,24.14500000000001,23.57000000000004,0.0,0.0,0.8875061619503788,0.8242452589574002,12.574999999999989,12.574999999999989,12.353555555555548,12.036488888888885,12.574999999999989,12.574999999999989,12.574999999999989,12.05500000000002,11.570000000000022,11.570000000000022,11.473044444444469,11.433755555555583,11.570000000000022,11.570000000000022,11.570000000000022,11.515000000000017,0.0,0.0,0.2589491986857735,0.4376007820427651,0.8660254037844386,0.5000000000000001,-0.0319017441417414,-0.6747555555555458,-7.392480186258675e-07,1,103.96
Alipur,2022,3,28.815329,77.15301,0.3522896110267688,0.3901342249645772,0.3364394660917075,0.3252298552875488,0.344302125202199,0.4001918801481692,0.3455211568777782,0.3318840955667518,0.093048281439326,0.0989278665645814,0.1266266287705255,0.1411734751785743,0.7677951455116272,0.8077319860458374,0.8243036866188049,0.8323071599006653,0.5554466842352345,0.588876540111585,0.4987345190208384,0.4736578698388993,0.5793965526387984,0.6151736479118706,0.5409908386979988,0.5059152537264794,0.1696239113807678,0.1267736703157425,-0.0178048219531774,-0.0223478078842163,0.1454230533146352,0.1451484804898025,0.1988280759494552,0.2134238985601471,-0.5282911567653396,-0.5543176874519344,-0.4799727589932206,-0.463616523330337,-0.5421168643766187,-0.5684008158309093,-0.513747433338813,-0.4941289313176136,0.1078383001036853,0.1140612547218029,0.1612794426027313,0.1710328342558282,392.0,2313.0,9082.0,35884.0,0.0001057198169292,0.0001057198169292,0.0001058291781857,0.0001065090417286,0.0001057198169292,0.0001057198169292,0.0001057198169292,0.0001057198169292,0.0,0.0,2.910939327037336e-07,2.6210264979507863e-06,6.210902030291259e-05,6.210902030291259e-05,6.227128218567594e-05,6.279609627804145e-05,6.210902030291259e-05,6.210902030291259e-05,6.210902030291259e-05,6.210902030291259e-05,0.0,0.0,4.3190295264911683e-07,2.639222212190336e-06,1.0,1.0,2.0,9.0,0.3264865517241379,0.3235638179800222,0.2976460188001106,0.2873781629834254,0.32995,0.32995,0.31425,0.3042,0.0069750000000015,0.0577606723769514,0.0601754063335695,0.0616009702485288,0.5147920689655172,0.5123736958934516,0.4685440834946089,0.4543568335635359,0.51725,0.51725,0.49775,0.48075,0.0049499999999967,0.0918033102531576,0.0907538691390347,0.0922796127792966,34.67500000000004,34.67500000000004,34.26875555555559,33.836038888888915,34.67500000000004,34.67500000000004,34.67500000000004,33.63500000000003,0.0,0.0,0.9597875741538242,0.9657192036232652,14.515000000000017,14.515000000000017,14.287444444444455,14.007050000000008,14.515000000000017,14.515000000000017,14.515000000000017,14.110000000000014,20.160000000000025,20.160000000000025,19.981311111111136,19.82898888888891,20.160000000000025,20.160000000000025,20.160000000000025,19.82000000000002,0.0,0.0,0.3916710992657563,0.5225897052182409,1.0,6.123233995736766e-17,-0.0604352354019813,-0.838961111111125,6.870759751288595e-07,2,108.41
Alipur,2022,4,28.815329,77.15301,0.3223795280119287,0.2681765031255087,0.2125538138328487,0.1906757974490943,0.3352755287691574,0.2884604452809099,0.1933330978021891,0.162026500566207,0.0713661409689521,0.0939028852803037,0.0981228684465191,0.0919215256047578,0.7053683400154114,0.7277107834815979,0.7277107834815979,0.7549235820770264,0.5250671016095761,0.4165047137704361,0.3029156602477867,0.2682884280193102,0.5519219130839942,0.4356862987790789,0.2635542784097059,0.2205983888139041,0.1468826979398727,0.113404780626297,0.0032863768283277,-0.0054989685304462,0.1360933521228029,0.1678853989677096,0.1565876483306306,0.138338469861901,-0.5449192673023882,-0.4801039928981678,-0.3864344597011917,-0.3620106054543524,-0.5668788552284241,-0.4784055671015235,-0.373216838778623,-0.3573608748558671,0.1073164688907428,0.1119108544794242,0.1212578295992936,0.1091412575316873,392.0,2313.0,9082.0,35884.0,0.0001216723830226,0.0001216723830226,0.0001217756645725,0.0001216258321187,0.0001216723830226,0.0001216723830226,0.0001216723830226,0.0001216723830226,0.0,0.0,2.749111842811416e-07,7.615393183302968e-07,7.692808767144835e-05,7.692808767144835e-05,7.667329339147072e-05,7.602003516124895e-05,7.692808767144835e-05,7.692808767144835e-05,7.692808767144835e-05,7.557168282803795e-05,0.0,0.0,6.78202421704106e-07,1.1098818990533136e-06,1.0,1.0,2.0,9.0,0.2410410344827586,0.2207093784683685,0.2005915123030135,0.1895384254143646,0.25415,0.21795,0.20135,0.18335,0.0264,0.0254775728583004,0.0226141498437791,0.0319156207581304,0.3453768965517241,0.3213983906770255,0.2992015482444015,0.2864653038674034,0.36185,0.3185,0.2992,0.2816,0.033175,0.0260995203200652,0.0288032441133908,0.0432841450033328,39.97000000000005,39.97000000000005,39.84914074074079,39.679096296296336,39.97000000000005,39.97000000000005,39.97000000000005,39.59666666666667,0.0,0.0,0.4088296303676708,0.4001110956830878,16.80666666666669,16.80666666666669,16.924622222222236,16.972348148148157,16.80666666666669,16.80666666666669,16.80666666666669,16.853333333333335,23.163333333333355,23.163333333333355,22.924518518518543,22.706748148148176,23.163333333333355,23.163333333333355,23.163333333333355,22.56333333333335,0.0,0.0,0.4703751457908957,0.5981351907781618,0.8660254037844387,-0.4999999999999998,-0.0589115926843207,-0.2909037037037123,-9.080525101994074e-07,2,127.27
Alipur,2022,5,28.815329,77.15301,0.3275866581493446,0.2623389732445968,0.2113300923009173,0.1820489265643974,0.3271232112144773,0.2791040229017847,0.1916858747679348,0.1445560542339467,0.0786337437235804,0.1113589401022066,0.1274772910105601,0.1201618471102527,0.7151890993118286,0.7353253960609436,0.7384717464447021,0.7384717464447021,0.5225040132196668,0.4052991848058698,0.3006899884940706,0.2521450531793817,0.549223045157643,0.458568428512289,0.2635890033269466,0.2011346218620499,0.1522758305072784,0.1011213660240173,-0.0266488771885633,-0.0455856397747993,0.1263591916664445,0.1768333880469578,0.1705006172441318,0.153270764511693,-0.5524480287438523,-0.4663129891998426,-0.3757114333008713,-0.3342066488484659,-0.5773768507981603,-0.4942458411270806,-0.3535097357172657,-0.3065329114713475,0.0971018421581179,0.1265537434901212,0.1314622763526351,0.1210360735077185,392.0,2313.0,9082.0,35884.0,0.0001341803726973,0.0001341803726973,0.0001347582638219,0.0001349856991997,0.0001341803726973,0.0001341803726973,0.0001341803726973,0.0001341803726973,0.0,0.0,1.538210199195159e-06,2.44522266306679e-06,8.218739822046529e-05,8.218739822046529e-05,8.262182315713612e-05,8.296566354757564e-05,8.218739822046529e-05,8.218739822046529e-05,8.218739822046529e-05,8.218739822046529e-05,0.0,0.0,1.1563369637853306e-06,2.36657926220724e-06,1.0,1.0,2.0,9.0,0.2197227586206896,0.2096995005549389,0.1963139203760022,0.1841942714088398,0.2248,0.20655,0.2007,0.1868,0.0102249999999999,0.0088672853794159,0.0262730537887683,0.0398122838363642,0.3159975862068965,0.3028403995560488,0.2824456732098425,0.2652057354972376,0.31925,0.30615,0.2856,0.27,0.0065499999999997,0.017199871683751,0.035372344697181,0.0540165806157926,36.49000000000004,36.49000000000004,36.42811111111115,36.35094444444447,36.49000000000004,36.49000000000004,36.49000000000004,36.27000000000001,0.0,0.0,0.1981476722053644,0.3122054167085704,11.715000000000003,11.715000000000003,11.832822222222225,11.968405555555554,11.715000000000003,11.715000000000003,11.715000000000003,11.979999999999976,24.77500000000004,24.77500000000004,24.595288888888927,24.382538888888924,24.77500000000004,24.77500000000004,24.77500000000004,24.290000000000035,0.0,0.0,0.3661113218680579,0.3594732085348767,0.4999999999999999,-0.8660254037844387,-0.0507918507096589,-0.139055555555565,7.782653271103514e-07,2,81.77
Alipur,2022,6,28.815329,77.15301,0.3444108621440734,0.2938880058327985,0.2539769006602479,0.2124620543862628,0.3446011982706517,0.3145807269470202,0.2653947307400043,0.2029528857174434,0.0774455297711293,0.1071295980214967,0.1528345374768351,0.153318665683305,0.6287487149238586,0.6287487149238586,0.6330178380012512,0.6333644986152649,0.4540806925441445,0.3512675116227472,0.273336967867672,0.2336080548344577,0.4732174179478035,0.3883463940785222,0.2677178335625951,0.2167577954307576,0.1388076096773147,0.0662325099110603,-0.0391096025705337,-0.0638787001371383,0.1027656634789196,0.1428819916882651,0.1415261530116442,0.1357446089315112,-0.4832840504636147,-0.3944264747024844,-0.3205462767477167,-0.2824571454195294,-0.5085367495643182,-0.423982463348086,-0.3144234853746663,-0.2676563965100004,0.0862418895452944,0.1258084730189997,0.1279029618718855,0.1228816526830819,392.0,2313.0,9082.0,35884.0,0.0001166508378374,0.0001166508378374,0.0001163890195167,0.0001161186956962,0.0001166508378374,0.0001166508378374,0.0001166508378374,0.0001166508378374,0.0,0.0,6.968987654824848e-07,7.327365962743011e-07,6.324732262224766e-05,6.324732262224766e-05,6.332771945121376e-05,6.307185782133058e-05,6.324732262224766e-05,6.324732262224766e-05,6.324732262224766e-05,6.324732262224766e-05,0.0,0.0,2.1399744181063442e-07,1.401662184814249e-06,1.0,1.0,2.0,9.0,0.2232813793103448,0.2545320512820513,0.2404336745315753,0.2114110677808728,0.1828,0.2162,0.2162,0.2007,0.0815249999999999,0.079474220566759,0.0708595145514641,0.0621235453367245,0.2981703448275862,0.3291773717948718,0.3149160999306038,0.2878447028783658,0.2615,0.3015,0.3015,0.2836,0.0738499999999998,0.0776783694578655,0.0696279577468707,0.0695058739293479,39.86000000000003,39.86000000000003,39.8294666666667,39.75023888888892,39.86000000000003,39.86000000000003,39.86000000000003,39.7966666666667,0.0,0.0,0.1804527485091102,0.373413608359473,13.5,13.5,13.68503703703704,13.811003703703706,13.5,13.5,13.5,13.649999999999991,26.360000000000028,26.360000000000028,26.120422222222253,25.891977777777807,26.360000000000028,26.360000000000028,26.360000000000028,25.84000000000005,0.0,0.0,0.5150530919235118,0.5645007627195838,1.2246467991473532e-16,-1.0,-0.0103256419492204,-0.1097611111111049,-1.7546480091707885e-07,3,61.81
Alipur,2022,7,28.815329,77.15301,0.4488741229056874,0.4092992809917003,0.3627496669605756,0.307619489182892,0.4703947811383949,0.4415441519730307,0.2906958471405473,0.2958084415784334,0.1113655307692671,0.1523852059481729,0.8270284106595339,1.1302848251521518,0.8483055233955383,0.8483055233955383,0.8483055233955383,0.8483055233955383,0.5049706677557474,0.452560923861938,0.338184315841221,0.291282641372673,0.5147224515676498,0.4749768530500346,0.357607889802624,0.2868871671649418,0.1186440885066986,0.0218457467854022,-0.0342979840934276,-0.0987256914377212,0.156095915406171,0.1817669766716882,0.183913094655571,0.1835744008486061,-0.4485549783191561,-0.4106592673933469,-0.3140674283270601,-0.2759638996740537,-0.4435244765546586,-0.4281243861783733,-0.3262094419616066,-0.2754408939996154,0.1219245255992469,0.1416144725390341,0.1457059120596812,0.1476363435069033,392.0,2313.0,9082.0,35884.0,0.0001076484891948,0.0001076484891948,0.0001087071705331,0.0001093074543143,0.0001076484891948,0.0001076484891948,0.0001076484891948,0.0001076484891948,0.0,0.0,2.81796062120746e-06,3.88093620622052e-06,6.31897654652305e-05,6.31897654652305e-05,6.350678402957782e-05,6.364588800567047e-05,6.31897654652305e-05,6.31897654652305e-05,6.31897654652305e-05,6.31897654652305e-05,0.0,0.0,8.438288256891644e-07,3.7441683069070335e-06,1.0,1.0,2.0,9.0,0.2392358163052741,0.2391522486075175,0.2364411764705882,0.2962169056352117,0.2324014878439934,0.2333383107406875,0.2308,0.3171,0.0234222713790007,0.037886098293506,0.0274000000000003,0.048571603049903,0.3464045234461656,0.3440046475642875,0.3323,0.444004034678226,0.3432606987860184,0.3402439963994843,0.326,0.4513,0.0305734170982314,0.0426835937595531,0.0306000000000004,0.0941158679978915,40.450000000000045,40.450000000000045,40.29951111111116,40.10128888888893,40.450000000000045,40.450000000000045,40.450000000000045,39.950000000000045,0.0,0.0,0.2815581645061147,0.3526548342203556,11.800000000000011,11.800000000000011,11.794755555555565,11.713933333333337,11.800000000000011,11.800000000000011,11.800000000000011,11.800000000000011,28.130000000000024,28.130000000000024,28.02888888888892,27.94367777777781,28.130000000000024,28.130000000000024,28.130000000000024,28.02000000000004,0.0,0.0,0.2465131842315246,0.2949576240749483,-0.4999999999999997,-0.8660254037844388,0.0975995112320604,-0.3487111111111147,4.5612254043996393e-07,3,33.32
Alipur,2022,8,28.815329,77.15301,0.4896026166980041,0.4242965823933914,0.3510602127576563,0.2984019699680759,0.5199277222535271,0.4525250382099304,0.4075921404635401,0.3746043774141321,0.1283200401170481,0.1875252832048761,0.3809439415130276,0.4485877571416952,0.8810126185417175,0.9084467887878418,0.9084467887878418,0.9084467887878418,0.6672976911417763,0.5965620555908955,0.5074291092964686,0.4510700735839226,0.7127429619431496,0.597460416422989,0.5273593479344353,0.4724750675982555,0.108440950512886,-0.0200030244886875,-0.0979558527469635,-0.1106499508023262,0.1916839318836064,0.2011745678208538,0.2232818146935349,0.2210153766631038,-0.6000503178503968,-0.5265429142688425,-0.4455045833662671,-0.4012112034528683,-0.6314149981227594,-0.5332392681212652,-0.474637126627059,-0.4182263308705378,0.1469195319361788,0.1706045040178728,0.1824920533547027,0.179150826947682,392.0,2313.0,9082.0,35884.0,9.311152318929314e-05,9.311152318929314e-05,9.298140185728482e-05,9.250737673581048e-05,9.311152318929314e-05,9.311152318929314e-05,9.311152318929314e-05,9.311152318929314e-05,0.0,0.0,3.463523690219966e-07,2.2936201179688744e-06,4.812226191871992e-05,4.812226191871992e-05,4.818209188888476e-05,4.782650255038142e-05,4.812226191871992e-05,4.812226191871992e-05,4.812226191871992e-05,4.812226191871992e-05,0.0,0.0,1.592533029389665e-07,2.486799435597537e-06,1.0,1.0,2.0,9.0,0.3912186206896551,0.3749285714285715,0.3617817007327421,0.341773218111003,0.4047,0.4047,0.3648,0.3443,0.0271499999999993,0.0423010401763359,0.0546120871846764,0.0489878077211591,0.5141120689655172,0.505702870493992,0.5036993829541072,0.4998489970788706,0.5176499999999999,0.5176499999999999,0.50385,0.50385,0.0071250000000003,0.026100241378196,0.0559661917788057,0.0541229134180333,34.24333333333336,34.24333333333336,34.086266666666695,33.94192222222225,34.24333333333336,34.24333333333336,34.24333333333336,33.97666666666669,0.0,0.0,0.4306479291587184,0.6093802649169007,8.526666666666662,8.526666666666662,8.416785185185182,8.34042222222222,8.526666666666662,8.526666666666662,8.526666666666662,8.526666666666662,25.94500000000004,25.94500000000004,25.869111111111145,25.78297222222225,25.94500000000004,25.94500000000004,25.94500000000004,25.71000000000004,0.0,0.0,0.1555032154011077,0.1945380726964567,-0.8660254037844385,-0.5000000000000004,-0.0142630718866466,-0.3014111111111077,-2.95759368338497e-07,3,31.47
Alipur,2022,9,28.815329,77.15301,0.4743171705464019,0.4643871307002826,0.4091206888045852,0.3663924250392415,0.498748875898696,0.4649977813347399,0.4069015817678214,0.3762342978675679,0.1132846858329155,0.1266579883623834,0.2347183189734821,0.3312260014018894,0.7780281901359558,0.8174694776535034,0.8174694776535034,0.8406946063041687,0.5976987850952404,0.5797602981948893,0.4925430221965249,0.4529214258263579,0.6344176769213756,0.5994208330495615,0.5174365010033699,0.474543344252841,0.1553824841976165,-0.032886765897274,-0.0416746586561203,-0.0782084837555885,0.1391192069202069,0.1375375975213706,0.1840876672626772,0.1946413761912531,-0.5342902575656648,-0.5141113154862093,-0.4482051714008217,-0.4161689027556614,-0.5589528381824493,-0.5255650742137626,-0.4707732198592512,-0.4395196270858054,0.1004390087165834,0.1057037110593207,0.1447010706455097,0.1527280498360419,392.0,2313.0,9082.0,35884.0,0.0001045410385687,0.0001045410385687,0.0001044997664205,0.0001033688442849,0.0001045410385687,0.0001045410385687,0.0001045410385687,0.0001043213250737,0.0,0.0,1.0985674748521785e-07,2.315964996692157e-06,5.884384843444114e-05,5.884384843444114e-05,5.885879687354537e-05,5.798332444271134e-05,5.884384843444114e-05,5.884384843444114e-05,5.884384843444114e-05,5.884384843444114e-05,0.0,0.0,3.978922761346368e-08,2.2835280567206657e-06,1.0,1.0,2.0,9.0,0.4221434482758621,0.4002892341842397,0.3791029997235278,0.3509599274861878,0.441,0.38315,0.37865,0.3627076923076923,0.0379750000000007,0.0285659762654816,0.0459917190705279,0.070704848360792,0.5932931034482759,0.5766884572697004,0.5470915261266244,0.5165243819060774,0.6031000000000001,0.5636,0.5582,0.5252,0.0197499999999988,0.0406490063685442,0.0572076249594151,0.0898111997037748,32.83000000000004,32.83000000000004,32.64943703703708,32.48614444444448,32.83000000000004,32.83000000000004,32.83000000000004,32.756666666666696,0.0,0.0,0.5323193485953436,0.489070673273772,8.180000000000026,8.180000000000026,8.049629629629647,7.925785185185192,8.180000000000026,8.180000000000026,8.180000000000026,8.179999999999987,24.79000000000002,24.79000000000002,24.747977777777805,24.71756666666669,24.79000000000002,24.79000000000002,24.79000000000002,24.750000000000043,0.0,0.0,0.1147483660015102,0.2089922911922913,-1.0,-1.8369701987210294e-16,-0.0767687215421984,-0.3438555555555638,-8.605239917297959e-07,3,36.89
Alipur,2022,10,28.815329,77.15301,0.438977873660299,0.403466386508959,0.351614236955164,0.3096589838734567,0.4441268612438481,0.3967343455580671,0.3519265663546982,0.30485629234751,0.1157052301498323,0.1231925537100458,0.1520814469112686,0.1552762634925627,0.82791668176651,0.8350374102592468,0.8361706733703613,0.8361706733703613,0.6453130410559725,0.5746038109923417,0.4890232985992082,0.4286757698917767,0.6745391128555176,0.5921710703438005,0.5058196944356277,0.4395090780580533,0.1781381666660308,0.0461696460843086,-0.0220160782337188,-0.0289945304393768,0.1529627398718364,0.1618180427156064,0.1855766398774228,0.186540976809809,-0.5995129246414532,-0.5442399761381476,-0.4709249320423358,-0.4184860916456325,-0.6165211271877399,-0.5527562573552132,-0.4901502452520649,-0.4355961960782547,0.1127017617404223,0.1224531736430298,0.1495166114588326,0.1481323484813731,392.0,2313.0,9082.0,35884.0,0.0001160731664302,0.0001160731664302,0.0001159971019102,0.0001162806795175,0.0001160731664302,0.0001160731664302,0.0001160731664302,0.0001160731664302,0.0,0.0,2.0246585482977386e-07,2.555145780202907e-06,7.51056921001467e-05,7.51056921001467e-05,7.50878132784634e-05,7.524266905786469e-05,7.51056921001467e-05,7.51056921001467e-05,7.51056921001467e-05,7.51056921001467e-05,0.0,0.0,4.75892165396424e-08,3.0526308879914005e-06,1.0,1.0,2.0,9.0,0.2840055172413793,0.2584732519422864,0.2437570085706386,0.2404352378973612,0.2992,0.2675,0.2421,0.2421,0.0305999999999999,0.0345590346364016,0.0279711497330966,0.0345319367076012,0.43918,0.402999001109878,0.3876141000829416,0.3902210056098068,0.4579,0.4183,0.3825,0.3903,0.0376999999999998,0.0511185371831976,0.048719946967481,0.0639020966420261,29.470000000000027,29.470000000000027,29.302800000000023,29.130644444444467,29.470000000000027,29.470000000000027,29.470000000000027,29.110000000000014,0.0,0.0,0.406540280907011,0.4364616425668938,10.759999999999993,10.759999999999993,10.695466666666656,10.599399999999989,10.759999999999993,10.759999999999993,10.759999999999993,10.620000000000005,18.71000000000004,18.71000000000004,18.60733333333337,18.53124444444449,18.71000000000004,18.71000000000004,18.71000000000004,18.57000000000005,0.0,0.0,0.2213594362118656,0.3693972400921816,-0.8660254037844386,0.5000000000000001,-0.0489589943901931,-0.3393555555555601,1.369769577179848e-07,4,113.09
